ANOVA_Ftest,Mutual_Info
cigarettes_per_day.exposures,cigarettes_per_day.exposures
years_smoked.exposures,years_smoked.exposures
age_at_index.demographic,age_at_index.demographic
days_to_birth.demographic,days_to_birth.demographic
year_of_birth.demographic,year_of_birth.demographic
year_of_death.demographic,year_of_death.demographic
pack_years_smoked.exposures,pack_years_smoked.exposures
days_to_death.demographic,days_to_death.demographic
days_to_last_follow_up.diagnoses,days_to_last_follow_up.diagnoses
age_at_diagnosis.diagnoses,age_at_diagnosis.diagnoses
year_of_diagnosis.diagnoses,year_of_diagnosis.diagnoses
age_at_earliest_diagnosis.diagnoses.xena_derived,age_at_earliest_diagnosis.diagnoses.xena_derived
age_at_earliest_diagnosis_in_years.diagnoses.xena_derived,age_at_earliest_diagnosis_in_years.diagnoses.xena_derived
sample_type_id.samples,sample_type_id.samples
days_to_collection.samples,days_to_collection.samples
initial_weight.samples,initial_weight.samples
intermediate_dimension.samples,intermediate_dimension.samples
shortest_dimension.samples,shortest_dimension.samples
longest_dimension.samples,longest_dimension.samples
